id,Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount,Is Duplicate,Payment Status,Is Late,Invoice Month,Invoice Year,Payment Month,Payment Year,Is Outstanding,Amount Due
1fb8e2e7-86e9-4e2e-80fc-995a97e36a40,2018-11-29,2019-05-01,153,146,2018-20184521,270775.09,270775.09,True,Fully Paid,True,2018-11,2018,2019-05,2019,False,0.0
9f2ff39c-6833-40db-b318-24b2f409a843,2018-09-30,2018-10-30,30,146,2018-20184434,310487.64,310487.64,True,Fully Paid,False,2018-09,2018,2018-10,2018,False,0.0
26bd483a-42ea-4147-b1de-0ea99c5cbf41,2018-11-29,2019-01-30,62,146,2018-20184513,310487.64,310487.64,True,Fully Paid,True,2018-11,2018,2019-01,2019,False,0.0
dd5cf8ba-0ad2-4bdc-a60e-3cf6d167d7f7,2019-02-19,2019-03-06,15,146,2019-4622,310487.64,310487.64,True,Fully Paid,False,2019-02,2019,2019-03,2019,False,0.0
4edb85a2-989a-4ba3-8c7c-72c9e619bde5,2018-09-30,2018-10-30,30,146,2018-20184434,299141.95,299141.95,True,Fully Paid,False,2018-09,2018,2018-10,2018,False,0.0
a2c1b6d8-8efb-4230-84fb-441574d018f1,2018-11-29,2019-01-30,62,146,2018-20184513,299141.95,299141.95,True,Fully Paid,True,2018-11,2018,2019-01,2019,False,0.0
57d85130-44d8-4f07-9414-95cdd1935344,2019-01-31,2019-03-11,39,146,2019-4606,299141.95,299141.95,False,Fully Paid,True,2019-01,2019,2019-03,2019,False,0.0
7e0f0bb3-5c11-429f-94e0-553df741a2a7,2018-10-31,2018-12-12,42,146,2018-20184487,228418.81,228418.81,True,Fully Paid,True,2018-10,2018,2018-12,2018,False,0.0
fdf9e80d-17c9-420e-a163-8fa2fece268c,2019-05-30,2019-07-10,41,146,2019-4762,228418.81,228418.81,True,Fully Paid,True,2019-05,2019,2019-07,2019,False,0.0
91427b8b-123f-45ed-b938-51ba171bd753,2018-10-31,2018-12-12,42,146,2018-20184487,275319.5,275319.5,True,Fully Paid,True,2018-10,2018,2018-12,2018,False,0.0
a74f5b29-afd7-40dd-815d-9be0b5a6929b,2019-05-30,2019-06-16,17,146,2019-4764,212370.72,98503.83,True,Partially Paid,False,2019-05,2019,2019-06,2019,True,113866.89
ddc4b271-ccdf-4ab0-b05f-09ee4952bbb7,2019-05-30,2019-06-16,17,146,2019-4764,212370.72,37754.79,True,Partially Paid,False,2019-05,2019,2019-06,2019,True,174615.93
6d2af0f2-5007-4ddb-a63b-0831f02ad842,2019-05-30,2019-06-16,17,146,2019-4764,212370.72,76112.09,True,Partially Paid,False,2019-05,2019,2019-06,2019,True,136258.63
0075a474-0ee1-4a9e-8fe3-b2747285a0b2,2019-06-17,2019-07-22,35,146,2019-4779,212370.72,212370.72,True,Fully Paid,True,2019-06,2019,2019-07,2019,False,0.0
0b1defef-ebf3-4594-9c96-b5200be301cf,2018-08-26,2018-10-30,65,146,2018-20184401,83168.49,83168.49,False,Fully Paid,True,2018-08,2018,2018-10,2018,False,0.0
28a8d72e-a0e9-4c91-9f4a-fe4de176ce30,2019-03-17,2019-04-25,39,146,2019-4664,82417.91,82417.91,True,Fully Paid,True,2019-03,2019,2019-04,2019,False,0.0
cc6896ac-ef2b-487f-8cd9-3e0f4596e440,2019-07-24,2019-08-25,32,146,2019-4823,53091.22,53091.22,False,Fully Paid,True,2019-07,2019,2019-08,2019,False,0.0
d741f105-fdf5-41f0-8678-c01eeccb01ca,2019-05-30,2019-06-16,17,146,2019-4764,42220.4,42220.4,True,Fully Paid,False,2019-05,2019,2019-06,2019,False,0.0
d9eef474-dad5-414c-a6e5-f974f5b72732,2019-06-17,2019-07-22,35,146,2019-4779,42220.4,42220.4,True,Fully Paid,True,2019-06,2019,2019-07,2019,False,0.0
5e9ee5f2-9413-4240-97ce-fed455f4759b,2018-09-30,2018-10-30,30,146,2018-20184434,63755.24,63755.24,True,Fully Paid,False,2018-09,2018,2018-10,2018,False,0.0
d7e8a5dc-06ff-4a5f-bb2a-feb4dfa5c181,2018-12-30,2019-03-14,74,146,2018-20184576,25512.0,25512.0,False,Fully Paid,True,2018-12,2018,2019-03,2019,False,0.0
c8fbbf8a-83fb-4022-8860-fbf6cf582d5d,2019-09-30,2019-11-06,37,146,2019-4903,29925.97,29925.97,True,Fully Paid,True,2019-09,2019,2019-11,2019,False,0.0
b46ff887-7dfb-484d-a943-7dfa420323e0,2019-03-17,2019-04-25,39,146,2019-4664,22016.04,22016.04,True,Fully Paid,True,2019-03,2019,2019-04,2019,False,0.0
5aac15d7-9de5-4bcf-8d93-b7b2794102fd,2019-05-30,2019-07-10,41,146,2019-4762,22016.04,22016.04,True,Fully Paid,True,2019-05,2019,2019-07,2019,False,0.0
a86ac329-c315-4752-be27-9838463cf018,2019-05-30,2019-07-10,41,146,2019-4762,22016.04,22016.04,True,Fully Paid,True,2019-05,2019,2019-07,2019,False,0.0
2076f116-e9bd-466a-99d0-2217dbbb0fdd,2019-05-30,2019-06-16,17,146,2019-4764,17774.53,17774.53,True,Fully Paid,False,2019-05,2019,2019-06,2019,False,0.0
ad498f32-e167-4f13-a3a4-be9df89d464b,2019-06-17,2019-07-22,35,146,2019-4779,17774.53,17774.53,True,Fully Paid,True,2019-06,2019,2019-07,2019,False,0.0
8c22c7f8-49c4-44db-b319-7aee197d5a30,2017-11-30,2017-12-21,21,147,2017-20174005,78507.26,78507.26,True,Fully Paid,False,2017-11,2017,2017-12,2017,False,0.0
eed13109-930d-4abb-99a3-82fae0ac6e67,2018-01-31,2018-03-22,50,147,2018-20184106,68992.39,68992.39,True,Fully Paid,True,2018-01,2018,2018-03,2018,False,0.0
c43efdee-b063-40ab-a939-b8b5a68ada47,2018-02-28,2018-05-15,76,147,2018-20184158,68992.39,68992.39,True,Fully Paid,True,2018-02,2018,2018-05,2018,False,0.0
82bdf5e9-5dab-420e-85ea-f524c32f7c3b,2018-03-29,2018-09-20,175,147,2018-20184211,68992.39,68992.39,True,Fully Paid,True,2018-03,2018,2018-09,2018,False,0.0
db076bc4-ebdf-4cbb-ac73-643ca9355ff1,2018-01-31,2018-03-22,50,147,2018-20184106,105175.91,105175.91,True,Fully Paid,True,2018-01,2018,2018-03,2018,False,0.0
5986199c-e986-4bcb-ad56-0efac1917365,2017-11-30,2017-12-21,21,147,2017-20174005,54518.44,54518.44,True,Fully Paid,False,2017-11,2017,2017-12,2017,False,0.0
c5035f1c-13b1-4cd5-a490-918d4bab4c7a,2018-02-28,2018-05-15,76,147,2018-20184158,72717.95,72717.95,True,Fully Paid,True,2018-02,2018,2018-05,2018,False,0.0
f99bc2f2-b107-48bc-a281-71c6c65031cb,2018-03-29,2018-09-20,175,147,2018-20184211,72717.95,72717.95,True,Fully Paid,True,2018-03,2018,2018-09,2018,False,0.0
68419ac3-b5ad-4451-8346-39763dd12f07,2017-10-03,2017-10-10,7,147,2017-20173933,34665.31,34665.31,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
39864638-d79b-4377-a630-40f103a4d49a,2017-10-03,2017-10-10,7,147,2017-20173933,34665.31,34665.31,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
