Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount,Is Duplicate,Payment Status,Is Late,Invoice Month,Invoice Year,Payment Month,Payment Year,Is Outstanding,Amount Due
2016-11-27,2017-02-28,93,126,2016-20163382,127719.41,127719.41,True,Fully Paid,True,2016-11,2016,2017-02,2017,False,0.0
2016-05-31,2016-07-12,42,126,2016-20163093,201135.9,201135.9,False,Fully Paid,True,2016-05,2016,2016-07,2016,False,0.0
2022-02-18,2022-03-10,20,126,2022-5807,183039.13,183039.13,False,Fully Paid,False,2022-02,2022,2022-03,2022,False,0.0
2016-11-27,2017-02-28,93,126,2016-20163382,112111.55,112111.55,True,Fully Paid,True,2016-11,2016,2017-02,2017,False,0.0
2016-05-24,2016-07-12,49,126,2016-20163070,75489.27,75489.27,False,Fully Paid,True,2016-05,2016,2016-07,2016,False,0.0
2022-04-28,2022-05-27,29,126,2022-5874,67959.9,67959.9,False,Fully Paid,False,2022-04,2022,2022-05,2022,False,0.0
2016-05-04,2016-06-02,29,126,2016-20163060,130992.95,130992.95,False,Fully Paid,False,2016-05,2016,2016-06,2016,False,0.0
2016-07-19,2016-08-08,20,126,2016-20163172,60195.26,60195.26,True,Fully Paid,False,2016-07,2016,2016-08,2016,False,0.0
2016-08-31,2016-11-16,77,126,2016-20163247,37517.48,37517.48,True,Fully Paid,True,2016-08,2016,2016-11,2016,False,0.0
2017-06-29,2022-12-31,2011,126,2017-20173766,37517.48,37517.48,True,Fully Paid,True,2017-06,2017,2022-12,2022,False,0.0
2016-07-19,2016-08-08,20,126,2016-20163172,46409.94,46409.94,True,Fully Paid,False,2016-07,2016,2016-08,2016,False,0.0
2017-06-29,2022-12-31,2011,126,2017-20173750,49831.07,49831.07,False,Fully Paid,True,2017-06,2017,2022-12,2022,False,0.0
2022-04-15,2022-04-27,12,126,2022-5869,51553.79,51553.79,False,Fully Paid,False,2022-04,2022,2022-04,2022,False,0.0
2017-02-28,2017-07-24,146,126,2017-20173544,26613.89,26613.89,True,Fully Paid,True,2017-02,2017,2017-07,2017,False,0.0
2017-03-30,2022-12-31,2102,126,2017-20173615,26613.89,26613.89,False,Fully Paid,True,2017-03,2017,2022-12,2022,False,0.0
2017-06-29,2018-01-04,189,126,2017-20173766,26613.89,26613.89,True,Fully Paid,True,2017-06,2017,2018-01,2018,False,0.0
2016-07-19,2016-07-19,0,126,2016-20163172,60280.56,25834.53,True,Partially Paid,False,2016-07,2016,2016-07,2016,True,34446.03
2016-07-19,2016-08-08,20,126,2016-20163172,60280.56,34446.03,True,Partially Paid,False,2016-07,2016,2016-08,2016,True,25834.53
2016-06-30,2016-08-08,39,126,2016-20163150,28896.82,28896.82,True,Fully Paid,True,2016-06,2016,2016-08,2016,False,0.0
2016-09-30,2016-11-16,47,126,2016-20163300,28896.82,28896.82,False,Fully Paid,True,2016-09,2016,2016-11,2016,False,0.0
